"Source:","C:\Users\lkune\OneDrive\Desktop\Robosoccer_PCB\soccer-pcb\bez_controller1v5\bez_controller1v5.kicad_sch"
"Date:","3/27/2023 12:57:10 PM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","66"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"4","1","C10","2.2uF electrolytic","Device:C","Capacitor_THT:C_Radial_D4.0mm_H7.0mm_P1.50mm","~"
"5","2","C12, C13","10uF","Device:C","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
"6","1","C19","10nF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"7","2","C20, C21","1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"8","1","C23","4.7uF","Device:C","Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm","~"
"9","2","C24, C25","20pF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"10","1","D1","RED","Device:LED","LED_THT:LED_D5.0mm_Clear","~"
"11","1","D3","GREEN","Device:LED","LED_THT:LED_D5.0mm_Clear","~"
"12","2","FB1, FB2","30R/1.8A","Device:FerriteBead","Inductor_THT:L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1","~"
"13","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"14","6","J1, J2, J3, J4, J5, J6","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_Molex:Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical","~"
"15","2","J7, J11","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"16","1","J8","IMU Conn_01x08_Female","Connector:Conn_01x08_Female","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
"17","1","J9","JTAG Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"18","1","J10","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"19","1","J12","USB_B_Mini","Connector:USB_B_Mini","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal","~"
"20","7","R1, R2, R3, R4, R5, R6, R8","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"21","2","R7, R11","1k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"22","6","U1, U2, U3, U4, U5, U6","74LVC2G241","74xGxx:74LVC2G241","Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"23","1","U7","PX07806-500-S","Regulator_Linear:LM7805_TO220","Package_TO_SOT_THT:TO-220F-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"24","1","U8","LF50ABV_TO220","Regulator_Linear:LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"25","1","U9","LD1117AS33TR_SOT223","Regulator_Linear:LD1117S12TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf"
"26","1","U10","USBLC6-2SC6","Power_Protection:USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"27","1","U11","STM32F446RETx","MCU_ST_STM32F4:STM32F446RETx","Package_QFP:LQFP-64_10x10mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00141306.pdf"
"28","1","Y1","8MHz","Device:Crystal","Crystal:Crystal_HC49-U_Vertical","~"
